Atletico-MG|3|14|17|18|22|26|33| [7]
Athletico-PR|2|11|12|19|20|23|25|27|29|33|36| [11]
Avai|2|10|12|16|18|22|23|24|30|32| [10]
Chapecoense|2|6|7|10|14|16|18|20|23|24|26|27|28|32|33|36|38| [17]
Corinthians|3|4|8|11|37| [5]
Coritiba|3|5|6|7|10|11|12|14|17|21|22|25|28|29|31|38| [16]
Cruzeiro|1|2|8|9|10|12|15|16|18|19|20|21|24|29|38| [15]
Figueirense|2|3|5|8|12|13|14|15|18|22|25|26|31|32|34|36| [16]
Flamengo|5|8|9|13|17|26|30|31|32|33|35|37| [12]
Fluminense|3|6|11|17|18|22|25|31|32|35|38| [11]
Goias|1|5|6|7|11|13|15|17|18|21|28|30|32|38| [14]
Gremio|2|6|12|14|16|20|21|29|32|34|36| [11]
Internacional|1|4|8|10|15|16|17|19|21|23|35| [11]
Joinville|1|2|3|5|6|9|10|11|13|15|17|22|23|24|25|27|29|32|33|34|37|38| [22]
Palmeiras|2|3|8|16|22|24|30|32|34|37| [10]
Ponte Preta|7|8|10|11|12|13|15|20|21|23|24|34|35|37|38| [15]
Santos|3|9|14|19|27|30|32|34|35|36|37| [11]
Sao Paulo|2|4|9|11|14|19|22|24|26|30| [10]
Sport|6|16|21|22|24|33|35|36| [8]
Vasco|1|2|4|5|6|11|12|13|16|17|18|19|20|21|22|32|33|38| [18]
