Atletico-GO|2|3|4|6|8|9|10|15|18|21|29|30|32| [13]
Atletico-MG|4|6|7|13|15|18|19|31| [8]
Athletico-PR|2|4|6|11|13|15|16|21|22|25|26|31|32|33|37| [15]
Avai|1|2|3|5|8|9|11|15|17|18|19|26|28|32|34| [15]
Bahia|3|6|7|9|10|11|16|24|36|37| [10]
Botafogo|1|4|5|10|11|15|19|28|31|34|36|37| [12]
Chapecoense|8|10|13|15|19|20|22|28|31| [9]
Corinthians|8|15|21|22|23|28|29|31|36|38| [10]
Coritiba|2|7|8|9|10|12|15|17|20|21|22|24|28|36| [14]
Cruzeiro|4|5|7|9|16|17|19|29|33|37| [10]
Flamengo|4|5|13|19|20|23|26|30|31|34|35| [11]
Fluminense|7|13|16|17|20|22|25|26|30| [9]
Gremio|10|11|12|20|21|23|24|25|27|29|36| [11]
Palmeiras|2|3|4|5|7|13|19|21|26|38| [10]
Ponte Preta|2|5|7|8|11|12|13|17|19|20|25|29|32|33|36| [15]
Santos|3|4|8|10|14|19|20|21|24|34| [10]
Sao Paulo|1|4|7|9|11|14|27|35|36| [9]
Sport|1|4|7|16|20|21|22|23|24|26|34| [11]
Vasco|1|4|12|14|15|17|18|19|21|24|31| [11]
Vitoria|1|2|3|5|9|11|17|20| [8]
