Athletico-PR|5|8|13|19|25|31|38| [7]
Atletico-MG|4|6|12|15|16|17|20|28|29|32|34| [11]
Avai|3|4|7|8|9|10|11|13|15|18|22|24|25|26|27|30|32|33|34|35|38| [21]
Bahia|4|5|8|10|11|12|24|25|29| [9]
Botafogo|1|5|6|9|10|11|15|16|19|21|22|23|25|28|29|31|33|36|37| [19]
Ceara|2|7|8|9|12|15|16|17|19|20|21|23|30|32|33|37| [16]
Chapecoense|2|11|12|16|17|18|20|21|23|24|26|30|32|35|36| [15]
Corinthians|4|8|9|14|19|23|25|28|33|34| [10]
Cruzeiro|8|10|11|12|13|19|21|22|24|31|32|33|35|36|37|38| [16]
CSA|1|3|4|5|7|9|10|11|12|13|14|17|22|25|28|30|32|33|34|37| [20]
Flamengo|8|13|22|38| [4]
Fluminense|1|4|7|8|15|16|17|20|24|27|29|30|37| [13]
Fortaleza|1|3|4|7|8|15|18|20|25|37| [10]
Goias|6|7|11|12|14|17|19|31|32| [9]
Gremio|4|7|12|17|23|26|33|35| [8]
Internacional|1|3|6|10|14|24|25|27|30|31|33| [11]
Palmeiras|11|17|24|35| [4]
Santos|3|5|6|15|19|20|25|27|28|37| [10]
Sao Paulo|5|6|8|16|17|18|21|22|24|26|29|31|32|36| [14]
Vasco|4|7|13|17|18|22|23|24|30|35| [10]
