Flamengo_RJ,Atletico-MG,1.91,3.7,4.34
Corinthians,Chapecoense-SC,1.37,4.85,10.91
Fluminense,Santos,2.01,3.75,3.83
Avai,Vitoria,2.39,3.31,3.29
Bahia,Atletico-PR,1.73,3.61,5.91
Cruzeiro,Sao_Paulo,2.04,3.29,4.32
Palmeiras,Vasco,1.42,4.96,8.52
Ponte_Preta,Sport_Recife,1.63,4.02,6.24
Gremio,Botafogo_RJ,1.72,3.69,5.77
Coritiba,Atletico_GO,1.63,3.79,6.75
Santos,Coritiba,1.6,4.14,6.3
Atletico_GO,Flamengo_RJ,4.42,3.52,1.94
Chapecoense-SC,Palmeiras,3.18,3.42,2.39
Vasco,Bahia,1.88,3.65,4.58
Atletico-MG,Fluminense,1.68,4.22,5.21
Atletico-PR,Gremio,2.63,3.13,3.07
Vitoria,Corinthians,3.25,3.36,2.38
Botafogo_RJ,Ponte_Preta,2.14,3.34,3.88
Sport_Recife,Cruzeiro,2.73,3.21,2.88
Sao_Paulo,Avai,1.33,5.3,11.75
Vasco,Fluminense,2.74,3.47,2.69
Sao_Paulo,Palmeiras,2.57,3.28,3.01
Vitoria,Coritiba,2.23,3.32,3.63
Atletico-MG,Ponte_Preta,1.55,4.17,7.15
Atletico_GO,Corinthians,4.28,3.4,2.01
Atletico-PR,Flamengo_RJ,2.99,3.32,2.53
Santos,Cruzeiro,1.96,3.58,4.25
Sport_Recife,Gremio,1.94,3.41,4.62
Botafogo_RJ,Bahia,2.06,3.33,4.04
Chapecoense-SC,Avai,1.6,3.85,7.16
Coritiba,Atletico-PR,1.93,3.36,4.8
Fluminense,Vitoria,1.58,4.22,6.46
Corinthians,Santos,1.75,3.7,5.51
Avai,Sport_Recife,2.47,3.22,3.22
Flamengo_RJ,Botafogo_RJ,1.65,3.81,6.45
Gremio,Vasco,1.4,4.83,9.55
Palmeiras,Atletico-MG,1.76,3.83,5.14
Ponte_Preta,Sao_Paulo,2.45,3.29,3.19
Cruzeiro,Chapecoense-SC,1.56,3.95,7.79
